Date,City,Temperature,Rain,Update_at 
2025-07-03T04:00,Санкт-Петербург,17.6,0.0,2025-07-02 16:10
2025-07-03T05:00,Санкт-Петербург,17.3,0.0,2025-07-02 16:10
2025-07-03T06:00,Санкт-Петербург,17.2,0.0,2025-07-02 16:10
2025-07-03T07:00,Санкт-Петербург,17.6,0.0,2025-07-02 16:10
2025-07-03T08:00,Санкт-Петербург,18.5,0.0,2025-07-02 16:10
2025-07-03T09:00,Санкт-Петербург,19.4,0.0,2025-07-02 16:10
2025-07-03T10:00,Санкт-Петербург,20.5,0.0,2025-07-02 16:10
2025-07-03T11:00,Санкт-Петербург,21.5,0.0,2025-07-02 16:10
2025-07-03T12:00,Санкт-Петербург,22.5,0.0,2025-07-02 16:10
2025-07-03T13:00,Санкт-Петербург,23.8,0.0,2025-07-02 16:10
2025-07-03T14:00,Санкт-Петербург,24.9,0.0,2025-07-02 16:10
2025-07-03T15:00,Санкт-Петербург,25.5,0.0,2025-07-02 16:10
2025-07-03T16:00,Санкт-Петербург,25.4,0.0,2025-07-02 16:10
2025-07-03T17:00,Санкт-Петербург,26.5,0.0,2025-07-02 16:10
2025-07-03T18:00,Санкт-Петербург,27.1,0.0,2025-07-02 16:10
2025-07-03T19:00,Санкт-Петербург,27.1,0.0,2025-07-02 16:10
2025-07-03T20:00,Санкт-Петербург,26.5,0.0,2025-07-02 16:10
2025-07-03T21:00,Санкт-Петербург,25.8,0.0,2025-07-02 16:10
2025-07-03T22:00,Санкт-Петербург,24.7,0.0,2025-07-02 16:10
2025-07-03T23:00,Санкт-Петербург,23.1,0.0,2025-07-02 16:10
2025-07-02T00:00,Екатеринбург,17.0,0.0,2025-07-02 16:10
2025-07-02T01:00,Екатеринбург,16.3,0.0,2025-07-02 16:10
2025-07-02T02:00,Екатеринбург,15.8,0.0,2025-07-02 16:10
2025-07-02T03:00,Екатеринбург,15.4,0.1,2025-07-02 16:10
2025-07-02T04:00,Екатеринбург,15.8,0.8,2025-07-02 16:10
2025-07-02T05:00,Екатеринбург,15.7,3.0,2025-07-02 16:10
2025-07-02T06:00,Екатеринбург,15.7,13.3,2025-07-02 16:10
